date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,44.0,44.5,43.65,44.15,45849
2015-01-02 00:00:00+05:30,44.0,44.45,41.8,42.9,355100
2015-01-05 00:00:00+05:30,43.7,43.7,42.9,43.15,148492
2015-01-06 00:00:00+05:30,42.95,43.7,42.3,42.6,173497
2015-01-07 00:00:00+05:30,42.2,42.95,41.5,42.6,212593
2015-01-08 00:00:00+05:30,42.6,43.4,42.3,42.8,134563
2015-01-09 00:00:00+05:30,43.0,43.3,41.9,42.05,115111
2015-01-12 00:00:00+05:30,41.05,42.95,41.05,41.95,102600
2015-01-13 00:00:00+05:30,42.35,43.45,41.9,42.1,151372
2015-01-14 00:00:00+05:30,42.0,42.75,41.1,41.25,111675
2015-01-15 00:00:00+05:30,41.4,41.7,40.54,40.95,103119
2015-01-16 00:00:00+05:30,40.54,41.5,39.29,39.75,182040
2015-01-19 00:00:00+05:30,40.25,40.7,38.79,39.15,419707
2015-01-20 00:00:00+05:30,39.35,40.35,38.1,38.5,464008
2015-01-21 00:00:00+05:30,38.5,39.79,36.6,39.0,627759
2015-01-22 00:00:00+05:30,39.0,40.6,39.0,39.85,325978
2015-01-23 00:00:00+05:30,40.5,40.5,37.5,38.2,271881
2015-01-27 00:00:00+05:30,38.5,39.7,37.6,38.45,487853
2015-01-28 00:00:00+05:30,38.1,38.7,36.79,37.54,608521
2015-01-29 00:00:00+05:30,37.5,37.75,35.9,36.2,286512
2015-01-30 00:00:00+05:30,36.5,38.1,36.5,37.85,411736
2015-02-02 00:00:00+05:30,37.25,39.2,37.0,37.6,258194
2015-02-03 00:00:00+05:30,37.6,39.0,37.2,37.5,101255
2015-02-04 00:00:00+05:30,38.2,38.79,37.1,37.9,204676
2015-02-05 00:00:00+05:30,38.45,39.2,37.6,37.95,540886
2015-02-06 00:00:00+05:30,37.29,38.5,37.2,38.04,410621
2015-02-09 00:00:00+05:30,37.29,38.7,37.1,38.29,316439
2015-02-10 00:00:00+05:30,37.85,38.45,37.0,37.75,956915
